WHS,ZONE,TYPE,AISLE,COLUMN,SHELF,LOC
80,WH,,,,0,P524
80,WH,,,,0,P525
80,WH,,,,0,P526
80,WH,,,,0,P527
80,WH,,,,0,P528
80,WH,,,,0,P529
80,WH,,,,0,P530
80,WH,,,,0,P531
80,WH,,,,0,P532
80,WH,,,,0,P533
80,WH,,,,0,P534
80,WH,,,,0,P535
80,WH,,,,0,P536
80,WH,,,,0,P537
80,WH,,,,0,P538
80,WH,,,,0,P539
80,WH,,,,0,P540
80,WH,,,,0,P541
80,WH,,,,0,P542
80,WH,,,,0,P543
80,WH,,,,0,P544
80,WH,,,,0,P545
80,WH,,,,0,P546
80,WH,,,,0,P547
80,WH,,,,0,P548
80,WH,,,,0,P549
80,WH,,,,0,P550
80,WH,,,,0,P551
80,WH,,,,0,P552
80,WH,,,,0,P553
80,WH,,,,0,P554
80,WH,,,,0,P555
80,WH,,,,0,P556
80,WH,,,,0,P557
80,WH,,,,0,P558
80,WH,,,,0,P559
80,WH,,,,0,P560
80,WH,,,,0,P561
80,WH,,,,0,P562
80,WH,,,,0,P563
80,WH,,,,0,P564
80,WH,,,,0,P565
80,WH,,,,0,P566
80,WH,,,,0,P567
80,WH,,,,0,P568
80,WH,,,,0,P569
80,WH,,,,0,P570
80,WH,,,,0,P571
80,WH,,,,0,P572
80,WH,,,,0,P573
80,WH,,,,0,P574
80,WH,,,,0,P575
80,WH,,,,0,P576
80,WH,,,,0,P577
80,WH,,,,0,P578
80,WH,,,,0,P579
80,WH,,,,0,P580
80,WH,,,,0,P581
80,WH,,,,0,P582
80,WH,,,,0,P583
80,WH,,,,0,P584
80,WH,,,,0,P585
80,WH,,,,0,P586
80,WH,,,,0,P587
80,WH,,,,0,P588
80,WH,,,,0,P589
80,WH,,,,0,P590
80,WH,,,,0,P591
80,WH,,,,0,P592
80,WH,,,,0,P593
80,WH,,,,0,P594
80,WH,,,,0,P595
80,WH,,,,0,P596
80,WH,,,,0,P597
80,WH,,,,0,P598
80,WH,,,,0,P599
80,WH,,,,0,P600
80,WH,,,,0,P601
80,WH,,,,0,P602
80,WH,,,,0,P603
80,WH,,,,0,P604
80,WH,,,,0,P605
80,WH,,,,0,P606
80,WH,,,,0,P607
80,WH,,,,0,P608
80,WH,,,,0,P609
80,WH,,,,0,P610
80,WH,,,,0,P611
80,WH,,,,0,P612
80,WH,,,,0,P613
80,WH,,,,0,P614
80,WH,,,,0,P615
80,WH,,,,0,P616
80,WH,,,,0,P617
80,WH,,,,0,P618
80,WH,,,,0,P619
80,WH,,,,0,P620
80,WH,,,,0,P621
80,WH,,,,0,P622
80,WH,,,,0,P623
80,WH,,,,0,P624
80,WH,,,,0,P625
80,WH,,,,0,P626
80,WH,,,,0,P627
80,WH,,,,0,P628
80,WH,,,,0,P629
80,WH,,,,0,P630
80,WH,,,,0,P631
80,WH,,,,0,P632
80,WH,,,,0,P633
80,WH,,,,0,P634
80,WH,,,,0,P635
80,WH,,,,0,P636
80,WH,,,,0,P637
80,WH,,,,0,P638
80,WH,,,,0,P639
80,WH,,,,0,P640
80,WH,,,,0,P641
80,WH,,,,0,P642
80,WH,,,,0,P643
80,WH,,,,0,P644
80,WH,,,,0,P645
80,WH,,,,0,P646
80,WH,,,,0,P647
80,WH,,,,0,P648
80,WH,,,,0,P649
80,WH,,,,0,P650
80,WH,,,,0,P651
80,WH,,,,0,P652
80,WH,,,,0,P653
80,WH,,,,0,P654
80,WH,,,,0,P655
80,WH,,,,0,P656
80,WH,,,,0,P657
80,WH,,,,0,P658
80,WH,,,,0,P659
80,WH,,,,0,P660
80,WH,,,,0,P661
80,WH,,,,0,P662
80,WH,,,,0,P663
80,WH,,,,0,P664
80,WH,,,,0,P665
80,WH,,,,0,P666
80,WH,,,,0,P667
80,WH,,,,0,P668
80,WH,,,,0,P669
80,WH,,,,0,P670
80,WH,,,,0,P671
80,WH,,,,0,P672
80,WH,,,,0,P673
80,WH,,,,0,P674
80,WH,,,,0,P675
80,WH,,,,0,P676
80,WH,,,,0,P677
80,WH,,,,0,P678
80,WH,,,,0,P679
80,WH,,,,0,P680
80,WH,,,,0,P681
80,WH,,,,0,P682
80,WH,,,,0,P683
80,WH,,,,0,P684
80,WH,,,,0,P685
80,WH,,,,0,P686
80,WH,,,,0,P687
80,WH,,,,0,P688
80,WH,,,,0,P689
80,WH,,,,0,P690
80,WH,,,,0,P691
80,WH,,,,0,P692
80,WH,,,,0,P693
80,WH,,,,0,P694
80,WH,,,,0,P695
80,WH,,,,0,P696
80,WH,,,,0,P697
80,WH,,,,0,P698
80,WH,,,,0,P699
80,WH,,,,0,P700
80,WH,,,,0,P701
80,WH,,,,0,P702
80,WH,,,,0,P703
80,WH,,,,0,P704
80,WH,,,,0,P705
80,WH,,,,0,P706
80,WH,,,,0,P707
80,WH,,,,0,P708
80,WH,,,,0,P709
80,WH,,,,0,P710
80,WH,,,,0,P711
80,WH,,,,0,P712
80,WH,,,,0,P713
80,WH,,,,0,P714
80,WH,,,,0,P715
80,WH,,,,0,P716
80,WH,,,,0,P717
80,WH,,,,0,P718
80,WH,,,,0,P719
80,WH,,,,0,P720
80,WH,,,,0,P721
80,WH,,,,0,P722
80,WH,,,,0,P723
80,WH,,,,0,P724
80,WH,,,,0,P725
80,WH,,,,0,P726
80,WH,,,,0,P727
80,WH,,,,0,P728
80,WH,,,,0,P729
80,WH,,,,0,P730
80,WH,,,,0,P731
80,WH,,,,0,P732
80,WH,,,,0,P733
80,WH,,,,0,P734
80,WH,,,,0,P735
80,WH,,,,0,P736
80,WH,,,,0,P737
80,WH,,,,0,P738
80,WH,,,,0,P739
80,WH,,,,0,P740
80,WH,,,,0,P741
80,WH,,,,0,P742
80,WH,,,,0,P743
80,WH,,,,0,P744
80,WH,,,,0,P745
80,WH,,,,0,P746
80,WH,,,,0,P747
80,WH,,,,0,P748
80,WH,,,,0,P749
80,WH,,,,0,P750
80,WH,,,,0,P751
80,WH,,,,0,P752
80,WH,,,,0,P753
80,WH,,,,0,P754
80,WH,,,,0,P755
80,WH,,,,0,P756
80,WH,,,,0,P757
80,WH,,,,0,P758
80,WH,,,,0,P759
80,WH,,,,0,P760
80,WH,,,,0,P761
80,WH,,,,0,P762
80,WH,,,,0,P763
80,WH,,,,0,P764
80,WH,,,,0,P765
80,WH,,,,0,P766
80,WH,,,,0,P767
80,WH,,,,0,P768
80,WH,,,,0,P769
80,WH,,,,0,P770
80,WH,,,,0,P771
80,WH,,,,0,P772
80,WH,,,,0,P773
80,WH,,,,0,P774
80,WH,,,,0,P775
80,WH,,,,0,P776
80,WH,,,,0,P777
80,WH,,,,0,P778
80,WH,,,,0,P779
80,WH,,,,0,P780
80,WH,,,,0,P781
80,WH,,,,0,P782
80,WH,,,,0,P783
80,WH,,,,0,P784
80,WH,,,,0,P785
80,WH,,,,0,P786
80,WH,,,,0,P787
80,WH,,,,0,P788
80,WH,,,,0,P789
80,WH,,,,0,P790
80,WH,,,,0,P791
80,WH,,,,0,P792
80,WH,,,,0,P793
80,WH,,,,0,P794
80,WH,,,,0,P795
80,WH,,,,0,P796
80,WH,,,,0,P797
80,WH,,,,0,P798
80,WH,,,,0,P799
80,WH,,,,0,P800
80,WH,,,,0,P801
80,WH,,,,0,P802
80,WH,,,,0,P803
80,WH,,,,0,P804
80,WH,,,,0,P805
80,WH,,,,0,P806
80,WH,,,,0,P807
80,WH,,,,0,P808
80,WH,,,,0,P809
80,WH,,,,0,P810
80,WH,,,,0,P811
80,WH,,,,0,P812
80,WH,,,,0,P813
80,WH,,,,0,P814
80,WH,,,,0,P815
80,WH,,,,0,P816
80,WH,,,,0,P817
80,WH,,,,0,P818
80,WH,,,,0,P819
80,WH,,,,0,P820
80,WH,,,,0,P821
80,WH,,,,0,P822
80,WH,,,,0,P823
80,WH,,,,0,P824
80,WH,,,,0,P825
80,WH,,,,0,P826
80,WH,,,,0,P827
80,WH,,,,0,P828
80,WH,,,,0,P829
80,WH,,,,0,P830
80,WH,,,,0,P831
80,WH,,,,0,P832
80,WH,,,,0,P833
80,WH,,,,0,P834
80,WH,,,,0,P835
80,WH,,,,0,P836
80,WH,,,,0,P837
80,WH,,,,0,P838
80,WH,,,,0,P839
80,WH,,,,0,P840
80,WH,,,,0,P841
80,WH,,,,0,P842
80,WH,,,,0,P843
80,WH,,,,0,P844
80,WH,,,,0,P845
80,WH,,,,0,P846
80,WH,,,,0,P847
80,WH,,,,0,P848
80,WH,,,,0,P849
80,WH,,,,0,P850
80,WH,,,,0,P851
80,WH,,,,0,P852
80,WH,,,,0,P853
80,WH,,,,0,P854
80,WH,,,,0,P855
80,WH,,,,0,P856
80,WH,,,,0,P857
80,WH,,,,0,P858
80,WH,,,,0,P859
80,WH,,,,0,P860
80,WH,,,,0,P861
80,WH,,,,0,P862
80,WH,,,,0,P863
80,WH,,,,0,P864
80,WH,,,,0,P865
80,WH,,,,0,P866
80,WH,,,,0,P867
80,WH,,,,0,P868
80,WH,,,,0,P869
80,WH,,,,0,P870
80,WH,,,,0,P871
80,WH,,,,0,P872
80,WH,,,,0,P873
80,WH,,,,0,P874
80,WH,,,,0,P875
80,WH,,,,0,P876
80,WH,,,,0,P877
80,WH,,,,0,P878
80,WH,,,,0,P879
80,WH,,,,0,P880
80,WH,,,,0,P881
80,WH,,,,0,P882
80,WH,,,,0,P883
80,WH,,,,0,P884
80,WH,,,,0,P885
80,WH,,,,0,P886
80,WH,,,,0,P887
80,WH,,,,0,P888
80,WH,,,,0,P889
80,WH,,,,0,P890
80,WH,,,,0,P891
80,WH,,,,0,P892
80,WH,,,,0,P893
80,WH,,,,0,P894
80,WH,,,,0,P895
80,WH,,,,0,P896
80,WH,,,,0,P897
80,WH,,,,0,P898
80,WH,,,,0,P899
80,WH,,,,0,P900
80,WH,,,,0,P901
80,WH,,,,0,P902
80,WH,,,,0,P903
80,WH,,,,0,P904
80,WH,,,,0,P905
80,WH,,,,0,P906
80,WH,,,,0,P907
80,WH,,,,0,P908
80,WH,,,,0,P909
80,WH,,,,0,P910
80,WH,,,,0,P911
80,WH,,,,0,P912
80,WH,,,,0,P913
80,WH,,,,0,P914
80,WH,,,,0,P915
80,WH,,,,0,P916
80,WH,,,,0,P917
80,WH,,,,0,P918
80,WH,,,,0,P919
80,WH,,,,0,P920
80,WH,,,,0,P921
80,WH,,,,0,P922
80,WH,,,,0,P923
80,WH,,,,0,P924
80,WH,,,,0,P925
80,WH,,,,0,P926
80,WH,,,,0,P927
80,WH,,,,0,P928
80,WH,,,,0,P929
80,WH,,,,0,P930
80,WH,,,,0,P931
80,WH,,,,0,P932
80,WH,,,,0,P933
80,WH,,,,0,P934
80,WH,,,,0,P935
80,WH,,,,0,P936
80,WH,,,,0,P937
80,WH,,,,0,P938
80,WH,,,,0,P939
80,WH,,,,0,P940
80,WH,,,,0,P941
80,WH,,,,0,P942
80,WH,,,,0,P943
80,WH,,,,0,P944
80,WH,,,,0,P945
80,WH,,,,0,P946
80,WH,,,,0,P947
80,WH,,,,0,P948
80,WH,,,,0,P949
80,WH,,,,0,P950
80,WH,,,,0,P951
80,WH,,,,0,P952
80,WH,,,,0,P953
80,WH,,,,0,P954
80,WH,,,,0,P955
80,WH,,,,0,P956
80,WH,,,,0,P957
80,WH,,,,0,P958
80,WH,,,,0,P959
80,WH,,,,0,P960
80,WH,,,,0,P961
80,WH,,,,0,P962
80,WH,,,,0,P963
80,WH,,,,0,P964
80,WH,,,,0,P965
80,WH,,,,0,P966
80,WH,,,,0,P967
80,WH,,,,0,P968
80,WH,,,,0,P969
80,WH,,,,0,P970
80,WH,,,,0,P971
80,WH,,,,0,P972
80,WH,,,,0,P973
80,WH,,,,0,P974
80,WH,,,,0,P975
80,WH,,,,0,P976
80,WH,,,,0,P977
80,WH,,,,0,P978
80,WH,,,,0,P979
80,WH,,,,0,P980
80,WH,,,,0,P981
80,WH,,,,0,P982
80,WH,,,,0,P983
80,WH,,,,0,P984
80,WH,,,,0,P985
80,WH,,,,0,P986
80,WH,,,,0,P987
80,WH,,,,0,P988
80,WH,,,,0,P989
80,WH,,,,0,P990
80,WH,,,,0,P991
80,WH,,,,0,P992
80,WH,,,,0,P993
80,WH,,,,0,P994
80,WH,,,,0,P995
80,WH,,,,0,P996
80,WH,,,,0,P997
80,WH,,,,0,P998
80,WH,,,,0,P999
80,WH,,,,0,REC01
80,WH,,,,0,REC02
80,WH,,,,0,REC03
80,WH,,,,0,REC04
80,WH,,,,0,REC05
80,WH,,,,0,REC06
80,WH,,,,0,REC07
80,WH,,,,0,REC08
80,WH,,,,0,REC09
80,WH,,,,0,REC10
80,WH,,,,0,REC11
80,WH,,,,0,REC12
80,WH,,,,0,REC13
80,WH,,,,0,REC14
80,WH,,,,0,REC15
80,WH,,,,0,REC16
80,WH,,,,0,REC17
80,WH,,,,0,REC18
80,WH,,,,0,REC19
80,WH,,,,0,REC20
80,WH,,,,0,REC21
80,WH,,,,0,REC22
80,WH,,,,0,REC23
80,WH,,,,0,REC24
80,WH,,,,0,REC25
80,WH,,,,0,REC26
80,WH,,,,0,REC27
80,WH,,,,0,REC28
80,WH,,,,0,REC29
80,WH,,,,0,REC30
80,WH,,,,0,REC31
80,WH,,,,0,REC32
80,WH,,,,0,REC33
80,WH,,,,0,REC34
80,WH,,,,0,REC35
80,WH,,,,0,REC36
80,WH,,,,0,REC37
80,WH,,,,0,REC38
80,WH,,,,0,REC39
80,WH,,,,0,REC40
80,WH,,,,0,REC41
80,WH,,,,0,REC42
80,WH,,,,0,REC43
80,WH,,,,0,REC44
80,WH,,,,0,REC45
80,WH,,,,0,REC46
80,WH,,,,0,REC47
80,WH,,,,0,REC48
80,WH,,,,0,REC49
80,WH,,,,0,REC50
80,WH,,,,0,REC51
80,WH,,,,0,REC52
80,WH,,,,0,REC53
