AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
13,IG16,HTS15,1/1,B,BG,CAT12,0.014951380706377334,-0.057213340390231425
7,IG16,HTS15,1/1,A,BG,CAT12,0.2599163163119304,-0.03285270392679659
8,IG16,HTS15,1/1,A,BG,CAT12,-0.034041610641223734,-0.15985647155638946
8,IG16,HTS119,1/0,B,BX,CAT12,1.856342108040751,0.4970595679070219
10,IG16,HTS119,1/1,A,BX,CAT12,0.18062148049023538,-0.04489616465029246
8,IG16,HTS16,1/1,C,BG,CAT12,0.10436893589786789,0.059115541598080995
8,IG16,HTS16,1/1,C,BG,CAT12,-0.05145477246236613,-0.15985647155638946
10,IG16,HTS15,1/1,C,BG,CAT12,-0.15322479546234852,-0.15985647155638946
10,IG16,HTS15,1/1,C,BG,CAT12,0.21578953701853568,0.059115541598080995
7,IG16,HTS119,1/1,C,BG,CAT12,0.019099216177366065,-0.15985647155638946
10,IG16,HTS119,1/1,C,BG,CAT12,0.027221326288668517,-0.07226766629460127
7,IG16,HTS119,1/1,C,BG,CAT12,-0.018808049949488502,-0.15985647155638946
7,IG16,HTS15,1/1,C,BG,CAT12,0.0049499827451907575,-0.056939625373788334
10,IG16,HTS17,1/1,C,BG,CAT12,-0.8003283372185602,-0.13146675005091235
11,IG16,HTS16,1/1,A,BG,CAT12,-0.05076887645832145,-0.15985647155638946
10,IG16,HTS15,1/1,B,BG,CAT12,0.1261032615636988,0.059115541598080995
10,IG16,HTS15,1/1,B,BG,CAT12,-0.06353852000751162,-0.15985647155638946
8,IG16,HTS15,1/1,C,BG,CAT12,-0.4297625657526516,-0.15985647155638946
10,IG16,HTS15,1/0,C,BG,CAT12,0.012652296691710644,-0.06253436030988506
10,IG16,HTS15,1/1,C,BG,CAT12,0.022803481474743623,-0.08686215097134672
15,IG52,HTS119,1/1,B,PC,CAT16,0.05492892978693202,0.059115541598080995
16,IG52,HTS119,1/1,B,PC,CAT16,-0.701761043025707,-0.15985647155638946
16,IG52,HTS119,1/1,B,PC,CAT16,0.7643257845818943,0.059115541598080995
