,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
149,14,IG46,HTS119,1/1,A,BX,CAT17,0.29458213897905666,-0.0011236586137214608
150,17,IG46,HTS119,1/1,A,BX,CAT17,0.821181675380983,-0.004233708919473951
151,13,IG46,HTS119,1/1,A,BX,CAT17,-0.36099948904731793,-0.048902353979912015
152,13,IG46,HTS119,1/1,A,PC,CAT17,-0.1183809318846613,-0.049811277132649545
153,15,IG46,HTS119,1/1,A,PC,CAT17,-0.019228987266694832,-0.03664831773999287
154,17,IG46,HTS119,1/1,A,PC,CAT17,-3.3454957436608126,-0.07186635218823234
155,14,IG46,HTS119,1/1,A,PC,CAT17,-0.9303043092067583,-0.1133592416547682
156,15,IG46,HTS119,1/1,A,PC,CAT17,0.1135971819594957,-0.033209740993491874
157,15,IG46,HTS119,1/1,A,PC,CAT17,0.10611401154324489,-0.032191309027171516
158,12,IG46,HTS119,1/1,A,PC,CAT17,0.021928407757780072,-0.03631979129924437
159,12,IG56,HTS119,1/0,C,PC,CAT17,-2.1539583339073505,-0.14381364271215438
160,15,IG56,HTS119,1/0,C,PC,CAT17,-0.003444059762206428,-0.04148860730035414
161,12,IG56,HTS119,1/0,C,PC,CAT17,0.022356022929910707,-0.03458955204463559
162,13,IG56,HTS119,1/0,C,PC,CAT17,-5.932797456132099,-0.14381364271215438
163,12,IG56,HTS119,1/0,C,PC,CAT17,-0.023160088306975798,-0.034907127604025805
164,15,IG45,HTS24,1/1,C,PR,CAT17,0.01664273765802782,-0.14381364271215438
165,12,IG45,HTS24,1/1,B,PR,CAT17,0.021522622408867174,-0.04383209591102679
166,12,IG45,HTS24,1/1,B,PR,CAT17,0.02640248602725424,-0.034907127604025805
167,14,IG45,HTS24,1/1,B,PR,CAT17,0.27527616453856324,0.03413817935995114
168,14,IG45,HTS24,1/1,C,PR,CAT17,0.021522622408867174,-0.0890592359207373
169,16,IG45,HTS24,1/1,C,PR,CAT17,0.021522622408867174,-0.035520376960089674
170,13,IG45,HTS24,1/1,B,PR,CAT17,0.01664273765802782,-0.03645120187554377
171,15,IG45,HTS24,1/1,B,PR,CAT17,0.07520124900583862,-0.023233488076095682
172,12,IG45,HTS24,1/1,B,PR,CAT17,0.11373986827737195,-0.0017478588511436158
173,16,IG45,HTS24,1/1,C,PR,CAT17,-0.023689287177274553,-0.05471727198116051
174,14,IG45,HTS24,1/1,B,PR,CAT17,0.008793954684671387,-0.06245954510146689
175,15,IG45,HTS24,1/1,B,PR,CAT17,0.06126691148102167,-0.0296288027893332
176,14,IG45,HTS24,1/1,C,PR,CAT17,0.45606344859938386,0.1319185990080638
177,13,IG45,HTS24,1/1,C,PR,CAT17,-0.22608498975316985,-0.09398713253196483
178,16,IG45,HTS24,1/1,B,PC,CAT17,0.048920170567101004,-0.032607442518786285
179,17,IG45,HTS24,1/1,B,PC,CAT17,0.004825660528356335,-0.037590093536805244
180,17,IG45,HTS24,1/1,C,PC,CAT17,0.04010128123882344,-0.03017634685724737
181,16,IG45,HTS24,1/1,B,PC,CAT17,0.026872915547728665,-0.03475381526500984
182,2,IG45,HTS24,1/1,A,PC,CAT17,0.22309350423934954,-0.003467147224394113
